adjacent ;adjacent 
albeit ;albeit 
assemble ;assemble 
assemble ;assembled 
assemble ;assembles 
assemble ;assemblies 
assemble ;assembling 
assemble ;assembly 
collapse ;collapse 
collapse ;collapsed 
collapse ;collapses 
collapse ;collapsible
collapse ;collapsing 
colleague ;colleague 
colleague ;colleagues 
compile ;compile 
compile ;compilation 
compile ;compilations 
compile ;compiled 
compile ;compiles 
compile ;compiling 
conceive ;conceive 
conceive ;conceivable 
conceive ;conceivably 
conceive ;conceived 
conceive ;conceives 
conceive ;conceiving 
conceive ;inconceivable 
conceive ;inconceivably 
convince ;convince 
convince ;convinced 
convince ;convinces
convince ;convincing 
convince ;convincingly 
convince ;unconvinced 
depress ;depress 
depress ;depressed 
depress ;depresses 
depress ;depressing 
depress ;depression 
encounter ;encounter 
encounter ;encountered  
encounter ;encountering 
encounter ;encounters 
enormous ;enormous 
enormous ;enormity
enormous ;enormously 
forthcoming ;forthcoming 
incline ;incline 
incline ;inclination 
incline ;inclinations 
incline ;inclined 
incline ;inclines 
incline ;inclining 
integrity ;integrity 
intrinsic ;intrinsic 
intrinsic ;intrinsically 
invoke ;invoke 
invoke ;invoked 
invoke ;invokes 
invoke ;invoking 
levy ;levy 
levy ;levies 
likewise ;likewise 
nonetheless  ;nonetheless  
notwithstanding ;notwithstanding 
odd  ;odd  
odd  ;odds  
ongoing ;ongoing 
panel ;panel 
panel ;panelled 
panel ;panelling 
panel ;panels 
persist ;persist 
persist ;persisted 
persist ;persistence
persist ;persistent 
persist ;persistently 
persist ;persisting 
persist ;persists 
pose ;pose 
pose ;posed 
pose ;poses 
pose ;posing 
reluctance ;reluctance 
reluctance ;reluctant 
reluctance ;reluctantly 
so‑called ;so‑called 
straightforward ;straightforward 
undergo ;undergo 
undergo ;undergoes 
undergo ;undergoing 
undergo ;undergone 
undergo ;underwent 
whereby ;whereby 
