achieve ;achieve
achieve ;achievable
achieve ;achieved
achieve ;achievement
achieve ;achievements
achieve ;achieves
achieve ;achieving
acquire;acquire
acquire;acquired 
acquire;acquires
acquire;acquiring
acquire;acquisition
acquire;acquisitions
administrate;administrate
administrate;administrates
administrate;administration  
administrate;administrations  
administrate;administrative 
administrate;administratively
administrate;administrator
administrate;administrators
affect;affect
affect;affected
affect;affecting
affect;affective
affect;affectively
affect;affects
affect;unaffected
appropriate ;appropriate 
appropriate ;appropriacy
appropriate ;appropriately
appropriate ;appropriateness
appropriate ;inappropriacy 
appropriate ;inappropriate
appropriate ;inappropriately
aspect;aspect
aspect;aspects
assist;assist
assist;assistance 
assist;assistant
assist;assistants
assist;assisted
assist;assisting
assist;assists
assist;unassisted
category ;category 
category ;categories
category ;categorisation
category ;categorise
category ;categorised
category ;categorises
category ;categorising
category ;categorization
category ;categorized
category ;categorizes
category ;categorizing 
chapter;chapter
chapter;chapters
commission;commission
commission;commissioned
commission;commissioner
commission;commissioners
commission;commissioning
commission;commissions
community;community
community;communities
complex ;complex 
complex ;complexities
complex ;complexity 
compute ;compute 
compute ;computation
compute ;computational
compute ;computations
compute ;computable
compute ;computer
compute ;computed
compute ;computerised
compute ;computers
compute ;computing
conclude;conclude
conclude;concluded
conclude;concludes
conclude;concluding
conclude;conclusion
conclude;conclusions 
conclude;conclusive
conclude;conclusively
conclude;inconclusive
conclude;inconclusively
conduct;conduct
conduct;conducted 
conduct;conducting
conduct;conducts
consequent;consequent
consequent;consequence
consequent;consequences
consequent;consequently
construct ;construct 
construct ;constructed 
construct ;constructing 
construct ;construction
construct ;constructions
construct ;constructive 
construct ;constructs
construct ;reconstruct
construct ;reconstructed
construct ;reconstructing
construct ;reconstruction
construct ;reconstructs
consume;consume
consume;consumed
consume;consumer  
consume;consumers 
consume;consumes
consume;consuming
consume;consumption
credit;credit
credit;credited
credit;crediting
credit;creditor
credit;creditors
credit;credits
culture;culture
culture;cultural 
culture;culturally
culture;cultured
culture;cultures  
culture;uncultured
design;design
design;designed 
design;designer
design;designers
design;designing
design;designs 
distinct ;distinct 
distinct ;distinction
distinct ;distinctions 
distinct ;distinctive 
distinct ;distinctively
distinct ;distinctly
distinct ;indistinct
distinct ;indistinctly
element;element
element;elements 
equate ;equate 
equate ;equated 
equate ;equates
equate ;equating
equate ;equation
equate ;equations
evaluate;evaluate
evaluate;evaluated
evaluate;evaluates
evaluate;evaluating
evaluate;evaluation 
evaluate;evaluations
evaluate;evaluative
evaluate;re-evaluate 
evaluate;re-evaluated 
evaluate;re-evaluates
evaluate;re-evaluating 
evaluate;re-evaluation
feature;feature
feature;featured
feature;features 
feature;featuring
final;final
final;finalise
final;finalised
final;finalises
final;finalising
final;finalize
final;finalized
final;finalizes
final;finalizing
final;finality
final;finally
final;finals
focus;focus
focus;focused
focus;focuses
focus;focusing
focus;focussed
focus;focussing
focus;refocus
focus;refocused
focus;refocuses
focus;refocusing
focus;refocussed 
focus;refocusses
focus;refocussing
impact;impact
impact;impacted
impact;impacting
impact;impacts
injure ;injure 
injure ;injured
injure ;injures
injure ;injuries
injure ;injuring
injure ;injury
injure ;uninjured
institute ;institute 
institute ;instituted
institute ;institutes
institute ;instituting
institute ;institution
institute ;institutional
institute ;institutionalise 
institute ;institutionalised 
institute ;institutionalises 
institute ;institutionalising 
institute ;institutionalized
institute ;institutionalizes 
institute ;institutionalizing 
institute ;institutionally
institute ;institutions
invest;invest
invest;invested
invest;investing
invest;investment
invest;investments
invest;investor
invest;investors
invest;invests
invest;reinvest
invest;reinvested
invest;reinvesting
invest;reinvestment
invest;reinvests
item;item
item;itemisation
item;itemise
item;itemised
item;itemises  
item;itemising
item;items
journal ;journal 
journal ;journals
maintain;maintain
maintain;maintained 
maintain;maintaining 
maintain;maintains
maintain;maintenance
normal;normal
normal;abnormal
normal;abnormally
normal;normalisation
normal;normalise
normal;normalised
normal;normalises
normal;normalising
normal;normalization
normal;normalize
normal;normalized
normal;normalizes
