adapt  ;adapt  
adapt  ;adaptability 
adapt  ;adaptable 
adapt  ;adaptation 
adapt  ;adaptations 
adapt  ;adapted 
adapt  ;adapting  
adapt  ;adaptive 
adapt  ;adapts 
adult ;adult 
adult ;adulthood 
adult ;adults 
advocate ;advocate 
advocate ;advocacy 
advocate ;advocated 
advocate ;advocates 
advocate ;advocating 
aid ;aid 
aid ;aided 
aid ;aiding 
aid ;aids 
aid ;unaided 
channel ;channel 
channel ;channelled 
channel ;channelling 
channel ;channels 
chemical;chemical
chemical;chemically 
chemical;chemicals 
classic ;classic 
classic ;classical 
classic ;classics 
comprehensive ;comprehensive 
comprehensive ;comprehensively  
comprise ;comprise 
comprise ;comprised 
comprise ;comprises 
comprise ;comprising 
confirm ;confirm 
confirm ;confirmation 
confirm ;confirmed 
confirm ;confirming 
confirm ;confirms 
contrary ;contrary 
contrary ;contrarily 
convert ;convert 
convert ;conversion 
convert ;conversions 
convert ;converted 
convert ;convertible 
convert ;converting 
convert ;converts 
couple ;couple 
couple ;coupled 
couple ;coupling 
couple ;couples 
decade ;decade 
decade ;decades 
definite;definite
definite;definitely
definite;definitive
definite;indefinite
definite;indefinitely
deny ;deny 
deny ;deniable 
deny ;denial
deny ;denials
deny ;denied 
deny ;denies  
deny ;denying 
deny ;undeniable 
differentiate  ;differentiate  
differentiate  ;differentiated  
differentiate  ;differentiates 
differentiate  ;differentiating 
differentiate  ;differentiation  
dispose;dispose
dispose;disposable 
dispose;disposal 
dispose;disposed 
dispose;disposes 
dispose;disposing 
dynamic ;dynamic 
dynamic ;dynamically 
dynamic ;dynamics
eliminate ;eliminate 
eliminate ;eliminated 
eliminate ;eliminates 
eliminate ;eliminating 
eliminate ;elimination 
empirical  ;empirical  
empirical  ;empirically 
empirical  ;empiricism 
equip   ;equip   
equip   ;equipment 
equip   ;equipped 
equip   ;equipping 
equip   ;equips 
extract ;extract 
extract ;extracted 
extract ;extracting 
extract ;extraction 
extract ;extracts 
file ;file 
file ;filed 
file ;files  
file ;filing 
finite ;finite 
finite ;infinite 
finite ;infinitely 
foundation  ;foundation  
foundation  ;foundations  
globe;globe
globe; global
globe;globally 
globe;globalisation 
globe;globalization 
grade ;grade 
grade ;graded  
grade ;grades 
grade ;grading 
guarantee ;guarantee 
guarantee ;guaranteed 
guarantee ;guaranteeing 
guarantee ;guarantees 
hierarchy;hierarchy
hierarchy;hierarchical  
hierarchy;hierarchies 
identical  ;identical  
identical  ;identically 
ideology ;ideology 
ideology ;ideological 
ideology ;ideologically 
ideology ;ideologies 
infer ;infer 
infer ;inference 
infer ;inferences 
infer ;inferred 
infer ;inferring 
infer ;infers   
innovate ;innovate 
innovate ;innovation
innovate ;innovated
innovate ;innovates
innovate ;innovating
innovate ;innovations 
innovate ;innovative 
innovate ;innovator 
innovate ;innovators 
insert ;insert 
insert ;inserted 
insert ;inserting 
insert ;insertion 
insert ;inserts 
intervene ;intervene 
intervene ;intervened
intervene ;intervenes
intervene ;intervening 
intervene ;intervention 
intervene ;interventions 
isolate ;isolate 
isolate ;isolated 
isolate ;isolates 
isolate ;isolating 
isolate ;isolation 
isolate ;isolationism 
media ;media 
mode ;mode 
mode ;modes
paradigm ;paradigm 
paradigm ;paradigms 
phenomenon ;phenomenon 
phenomenon ;phenomena 
phenomenon ;phenomenal
priority ;priority 
priority ;priorities 
priority ;prioritisation 
priority ;prioritise 
priority ;prioritised 
priority ;prioritises 
priority ;prioritising 
priority ;prioritization 
priority ;prioritize 
priority ;prioritized 
priority ;prioritizes 
priority ;prioritizing 
prohibit ;prohibit 
prohibit ;prohibited 
prohibit ;prohibiting 
prohibit ;prohibition 
prohibit ;prohibitions 
prohibit ;prohibitive 
prohibit ;prohibits 
publication  ;publication  
publication  ;publications  
quote ;quote 
quote ;quotation 
quote ;quotations 
quote ;quoted 
quote ;quotes  
quote ;quoting  
release ;release 
release ;released 
release ;releases 
release ;releasing 
reverse ;reverse 
reverse ;reversal 
reverse ;reversed 
reverse ;reverses 
reverse ;reversible 
reverse ;reversing 
reverse ;reversals 
reverse ;irreversible 
simulate ;simulate 
simulate ;simulated 
simulate ;simulates 
simulate ;simulating 
simulate ;simulation  
sole ;sole 
sole ;solely 
somewhat ;somewhat 
submit;submit
submit;submission 
submit;submissions 
submit;submits  
submit;submitted 
submit;submitting 
successor ;successor 
successor ;succession 
successor ;successions 
successor ;successive 
successor ;successively 
successor ;successors 
survive ;survive 
survive ;survival 
survive ;survived 
survive ;survives 
survive ;surviving 
survive ;survivor 
survive ;survivors 
thesis ;thesis 
thesis ;theses 
topic ;topic 
topic ;topical 
topic ;topics 
transmit ;transmit 
transmit ;transmission  
transmit ;transmissions 
transmit ;transmitted 
transmit ;transmitting 
transmit ;transmits 
ultimate ;ultimate 
ultimate ;ultimately  
unique ;unique 
unique ;uniquely 
unique ;uniqueness 
visible ;visible 
visible ;visibility
visible ;visibly 
visible ;invisible 
visible ;invisibility 
voluntary ;voluntary 
voluntary ;voluntarily 
voluntary ;volunteer 
voluntary ;volunteering 
voluntary ;volunteered 
voluntary ;volunteers 
