accommodate ;accommodate 
accommodate ;accommodated 
accommodate ;accommodates 
accommodate ;accommodating 
accommodate ;accommodation 
analogy ;analogy 
analogy ;analogies 
analogy ;analogous 
anticipate ;anticipate 
anticipate ;anticipated  
anticipate ;anticipates 
anticipate ;anticipating 
anticipate ;anticipation 
anticipate ;unanticipated 
assure ;assure 
assure ;assurance 
assure ;assurances 
assure ;assured 
assure ;assuredly    
assure ;assures 
assure ;assuring 
attain  ;attain  
attain  ;attainable 
attain  ;attained 
attain  ;attaining 
attain  ;attainment 
attain  ;attainments
attain  ;attains 
attain  ;unattainable 
behalf ;behalf 
bulk ;bulk 
bulk ;bulky 
cease  ;cease  
cease  ;ceased 
cease  ;ceaseless 
cease  ;ceases 
cease  ;ceasing 
coherent ;coherent 
coherent ;coherence
coherent ;coherently 
coherent ;incoherent 
coherent ;incoherently 
coincide ;coincide 
coincide ;coincided 
coincide ;coincides 
coincide ;coinciding 
coincide ;coincidence 
coincide ;coincidences
coincide ;coincident
coincide ;coincidental
commence ;commence 
commence ;commenced 
commence ;commences 
commence ;commencement 
commence ;commencing 
commence ;recommences 
commence ;recommenced 
commence ;recommencing 
compatible ;compatible 
compatible ;compatibility 
compatible ;incompatibility  
compatible ;incompatible  
concurrent ;concurrent 
concurrent ;concurrently 
confine ;confine 
confine ;confined 
confine ;confines 
confine ;confining 
confine ;unconfined 
controversy  ;controversy  
controversy  ;controversies
controversy  ;controversial 
controversy  ;controversially 
controversy  ;uncontroversial 
converse ;converse 
converse ;conversely 
device ;device 
device ;devices 
devote ;devote 
devote ;devoted 
devote ;devotedly
devote ;devotes 
devote ;devoting 
devote ;devotion
devote ;devotions
diminish ;diminish 
diminish ;diminished 
diminish ;diminishes 
diminish ;diminishing 
diminish ;diminution 
diminish ;undiminished 
distort ;distort 
distort ;distorted 
distort ;distorting 
distort ;distortion 
distort ;distortions 
distort ;distorts 
duration ;duration 
erode ;erode 
erode ;eroded 
erode ;erodes 
erode ;eroding 
erode ;erosion 
ethic  ;ethic  
ethic  ;ethical 
ethic  ;ethically 
ethic  ;ethics 
ethic  ;unethical 
format ;format 
format ;formatted 
format ;formatting 
format ;formats
found;found
found;founded 
found;founder
found;founders 
found;founding 
found;unfounded 
inherent ;inherent 
inherent ;inherently 
insight ;insight 
insight ;insightful 
insight ;insights 
integral ;integral 
intermediate ;intermediate 
manual ;manual 
manual ;manually 
manual ;manuals 
mature ;mature 
mature ;immature
mature ;immaturity
mature ;maturation
mature ;maturational
mature ;matured 
mature ;matures 
mature ;maturing 
mature ;maturity 
mediate ;mediate 
mediate ;mediated 
mediate ;mediates 
mediate ;mediating 
mediate ;mediation 
medium ;medium 
military ;military 
minimal ;minimal 
minimal ;minimalisation 
minimal ;minimalise 
minimal ;minimalises 
minimal ;minimalised 
minimal ;minimalising 
minimal ;minimalist 
minimal ;minimalists 
minimal ;minimalistic 
minimal ;minimalization 
minimal ;minimalize
minimal ;minimalized 
minimal ;minimalizes
minimal ;minimalizing 
minimal ;minimally 
mutual ;mutual 
mutual ;mutually 
norm ;norm 
norm ;norms 
overlap ;overlap 
overlap ;overlapped 
overlap ;overlapping 
overlap ;overlaps 
passive ;passive 
passive ;passively
passive ;passivity 
portion ;portion 
portion ;portions 
preliminary ;preliminary 
preliminary ;preliminaries 
protocol ;protocol 
protocol ;protocols 
qualitative ;qualitative 
qualitative ;qualitatively 
refine ;refine 
refine ;refined 
refine ;refinement 
refine ;refinements 
refine ;refines 
refine ;refining 
relax ;relax 
relax ;relaxation 
relax ;relaxed 
relax ;relaxes 
relax ;relaxing 
restrain ;restrain 
restrain ;restrained 
restrain ;restraining 
restrain ;restrains 
restrain ;restraint 
restrain ;restraints 
restrain ;unrestrained 
revolution ;revolution 
revolution ;revolutionary 
revolution ;revolutionaries
revolution ;revolutionise 
revolution ;revolutionised 
revolution ;revolutionises 
revolution ;revolutionising 
revolution ;revolutionist
revolution ;revolutionists
revolution ;revolutionize 
revolution ;revolutionized 
revolution ;revolutionizes 
revolution ;revolutionizing 
revolution ;revolutions  
rigid ;rigid 
rigid ;rigidities 
rigid ;rigidity 
rigid ;rigidly 
route ;route 
route ;routed
route ;routes 
route ;routing
scenario ;scenario 
scenario ;scenarios 
sphere ;sphere 
